Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)",Charter Number,Charter Funding Type,IRC,Low Grade,High Grade,"Total 
Enrollment
(Grades 9-12)","CALPADS Unduplicated 
Pupil Count
(CUPC)
(Grades 9-12)","CALPADS Unduplicated Pupil Percentage (CUPP)
(Grades 9-12)","CUPP 
75% or more
(Grades 9-12)
(Y/N)","CALPADS Fall 1 
Certification Status 
(Y/N)"
2021-2022,19,75309,6115679,Los Angeles,Acton-Agua Dulce Unified,Meadowlark Elementary,Unified School District,Elementary Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,K,4,1,0,0.00%,N,Y
2021-2022,15,75168,0000001,Kern,El Tejon Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,40,68841,0000001,San Luis Obispo,Templeton Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,30,73924,0000000,Orange,Los Alamitos Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,12,17,0,0.00%,N,Y
2021-2022,32,66969,0000000,Plumas,Plumas Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,1,0,0.00%,N,Y
2021-2022,37,68346,0000000,San Diego,San Dieguito Union High,District Office,High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,12,6,0,0.00%,N,Y
2021-2022,41,68890,0000001,San Mateo,Cabrillo Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,0,0.00%,N,Y
2021-2022,39,68650,0000001,San Joaquin,Ripon Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,0,0.00%,N,Y
2021-2022,49,75358,0000001,Sonoma,Windsor Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,0,0.00%,N,Y
2021-2022,18,10181,6069934,Lassen,Lassen County Office of Education,Lassen County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,12,4,0,0.00%,N,Y
2021-2022,19,75333,0000000,Los Angeles,Manhattan Beach Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,12,2,0,0.00%,N,Y
2021-2022,24,75366,0000000,Merced,Delhi Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,12,1,0,0.00%,N,Y
2021-2022,37,73551,0000000,San Diego,Carlsbad Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,1,0,0.00%,N,Y
2021-2022,43,69484,0000001,Santa Clara,Gilroy Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,0,0.00%,N,Y
2021-2022,54,75531,0000000,Tulare,Dinuba Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,3,0,0.00%,N,Y
2021-2022,19,64980,0000001,Los Angeles,Santa Monica-Malibu Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,0,0.00%,N,Y
2021-2022,19,75341,0000000,Los Angeles,Redondo Beach Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,1,0,0.00%,N,Y
2021-2022,21,65466,0000000,Marin,San Rafael City High,District Office,High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,Adult,1,0,0.00%,N,Y
2021-2022,30,66464,0000000,Orange,Capistrano Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,12,1,0,0.00%,N,Y
2021-2022,43,69641,0000001,Santa Clara,Palo Alto Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,0,0.00%,N,Y
2021-2022,25,73593,0000000,Modoc,Tulelake Basin Joint Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,1,0,0.00%,N,Y
2021-2022,35,67538,0000001,San Benito,San Benito High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,56,73940,0000001,Ventura,Moorpark Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,0.00%,N,Y
2021-2022,19,64535,0000001,Los Angeles,El Segundo Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,0.00%,N,Y
2021-2022,31,66944,3130192,Placer,Tahoe-Truckee Unified,Cold Stream Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,5,0,0.00%,N,Y
2021-2022,32,66969,3233509,Plumas,Plumas Unified,Greenville Junior/Senior High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,7,12,1,0,0.00%,N,Y
2021-2022,36,67678,6105712,San Bernardino,Chino Valley Unified,Robert O. Townsend Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,1,0,0.00%,N,Y
2021-2022,44,75432,0000001,Santa Cruz,Scotts Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,0.00%,N,Y
2021-2022,58,72769,0000001,Yuba,Wheatland Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,45,69989,6050314,Shasta,Fall River Joint Unified,Mt. Burney Special Education Center,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,12,2,0,0.00%,N,Y
2021-2022,45,75267,0000001,Shasta,Gateway Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,49,70607,0000000,Sonoma,West Sonoma County Union High,District Office,High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,Adult,1,0,0.00%,N,Y
2021-2022,23,10231,0000001,Mendocino,Mendocino County Office of Education,"Nonpublic, Nonsectarian Schools",County Office of Education (COE),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,0.00%,N,Y
2021-2022,41,10413,0000001,San Mateo,San Mateo County Office of Education,"Nonpublic, Nonsectarian Schools",County Office of Education (COE),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,0.00%,N,Y
2021-2022,57,72702,0000001,Yolo,Winters Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,0.00%,N,Y
2021-2022,27,66159,0000001,Monterey,Salinas Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,0.00%,N,Y
2021-2022,42,69310,0000001,Santa Barbara,Santa Maria Joint Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,50,75549,0000001,Stanislaus,Hughson Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,06,61614,0000001,Colusa,Pierce Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,10,73809,0000001,Fresno,Firebaugh-Las Deltas Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,47,10470,0000001,Siskiyou,Siskiyou County Office of Education,"Nonpublic, Nonsectarian Schools",County Office of Education (COE),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,50,71217,0000001,Stanislaus,Patterson Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,13,63115,0000001,Imperial,Central Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,19,64659,0000001,Los Angeles,La Canada Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,0.00%,N,Y
2021-2022,20,65243,0000000,Madera,Madera Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,Adult,2,0,0.00%,N,Y
2021-2022,21,73361,0000001,Marin,Shoreline Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,0,0.00%,N,Y
2021-2022,30,66555,0000001,Orange,Laguna Beach Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,0.00%,N,Y
2021-2022,30,66621,0000000,Orange,Orange Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,Adult,2,0,0.00%,N,Y
2021-2022,39,68585,0102657,San Joaquin,Lodi Unified,Christa McAuliffe Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,4,0,0.00%,N,Y
2021-2022,13,63214,0120881,Imperial,San Pasqual Valley Unified,San Pasqual Vocational Academy,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,7,12,2,0,0.00%,N,Y
2021-2022,19,64444,0000001,Los Angeles,Culver City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,0,0.00%,N,Y
2021-2022,19,64568,1996156,Los Angeles,Glendale Unified,Jewel City Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,7,10,1,0,0.00%,N,Y
2021-2022,19,76869,0000001,Los Angeles,Wiseburn Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,28,66290,0000001,Napa,Saint Helena Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,50,75572,0000001,Stanislaus,Waterford Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,19,75309,0000001,Los Angeles,Acton-Agua Dulce Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,28,66241,0000001,Napa,Calistoga Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.00%,N,Y
2021-2022,37,68031,0000001,San Diego,Coronado Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,0,0.00%,N,Y
2021-2022,37,68304,6105563,San Diego,Ramona City Unified,Olive Peirce Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,2,0,0.00%,N,Y
2021-2022,43,69583,0000000,Santa Clara,Morgan Hill Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,1,0,0.00%,N,Y
2021-2022,01,61275,0136515,Alameda,Piedmont City Unified,Piedmont High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,814,32,3.93%,N,Y
2021-2022,07,61804,0734368,Contra Costa,San Ramon Valley Unified,Monte Vista High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,305",92,3.99%,N,Y
2021-2022,07,61630,0731125,Contra Costa,Acalanes Union High,Campolindo High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,341",66,4.92%,N,Y
2021-2022,07,61804,0736504,Contra Costa,San Ramon Valley Unified,San Ramon Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,043",103,5.04%,N,Y
2021-2022,07,61630,0734244,Contra Costa,Acalanes Union High,Miramonte High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,183",62,5.24%,N,Y
2021-2022,01,75093,0000000,Alameda,Dublin Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,Adult,38,2,5.26%,N,Y
2021-2022,37,73791,0000001,San Diego,San Marcos Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18,1,5.56%,N,Y
2021-2022,43,69534,4337762,Santa Clara,Los Gatos-Saratoga Union High,Saratoga High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,248",71,5.69%,N,Y
2021-2022,34,67330,0113571,Sacramento,Folsom-Cordova Unified,Vista del Lago High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,785",105,5.88%,N,Y
2021-2022,19,64659,1934611,Los Angeles,La Canada Unified,La Canada High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,12,"1,368",82,5.99%,N,Y
2021-2022,19,75333,0000001,Los Angeles,Manhattan Beach Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,1,6.25%,N,Y
2021-2022,19,75333,1935808,Los Angeles,Manhattan Beach Unified,Mira Costa High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,448",159,6.50%,N,Y
2021-2022,07,61630,0730283,Contra Costa,Acalanes Union High,Acalanes High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,274",86,6.75%,N,Y
2021-2022,15,63685,1531987,Kern,Muroc Joint Unified,Desert Junior-Senior High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,12,301,21,6.98%,N,Y
2021-2022,07,61804,0730051,Contra Costa,San Ramon Valley Unified,California High,Unified School District,High Schools (Public),Traditional,Not Participating,No ,N/A,N/A,N,9,12,"2,814",199,7.07%,N,Y
2021-2022,43,69468,4334421,Santa Clara,Fremont Union High,Lynbrook High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,781",126,7.07%,N,Y
2021-2022,41,69047,0129759,San Mateo,San Mateo Union High,Design Tech High,High School District,High Schools (Public),Traditional,N/A,Yes,1647,Directly funded,Y,9,12,562,41,7.30%,N,Y
2021-2022,19,64865,1996552,Los Angeles,Palos Verdes Peninsula Unified,Palos Verdes High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,418",106,7.48%,N,Y
2021-2022,43,69534,4334371,Santa Clara,Los Gatos-Saratoga Union High,Los Gatos High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,127",160,7.52%,N,Y
2021-2022,07,61804,0113118,Contra Costa,San Ramon Valley Unified,Dougherty Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"3,340",254,7.60%,N,Y
2021-2022,19,64683,0000001,Los Angeles,Las Virgenes Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,1,7.69%,N,Y
2021-2022,43,69641,0000000,Santa Clara,Palo Alto Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,P,Adult,13,1,7.69%,N,Y
2021-2022,57,72710,0000000,Yolo,Woodland Joint Unified,District Office,Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,K,Adult,25,2,8.00%,N,Y
2021-2022,01,61176,0135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,971",163,8.27%,N,Y
2021-2022,39,68502,0126011,San Joaquin,Escalon Unified,Escalon Charter Academy,Unified School District,Elementary Schools (Public),Traditional,Not Participating,Yes,1416,Directly funded,N,K,12,36,3,8.33%,N,Y
2021-2022,19,64865,0000001,Los Angeles,Palos Verdes Peninsula Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23,2,8.70%,N,Y
2021-2022,43,69468,4334462,Santa Clara,Fremont Union High,Monta Vista High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,839",163,8.86%,N,Y
2021-2022,01,75101,0130096,Alameda,Pleasanton Unified,Foothill High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,202",197,8.95%,N,Y
2021-2022,21,65482,2132587,Marin,Tamalpais Union High,Redwood High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,930",177,9.17%,N,Y
2021-2022,37,68031,3731478,San Diego,Coronado Unified,Coronado High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,051",97,9.23%,N,Y
2021-2022,21,65482,2130078,Marin,Tamalpais Union High,Tamiscal High (Alternative),High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,119,11,9.24%,N,Y
2021-2022,09,61853,0930081,El Dorado,El Dorado Union High,Oak Ridge High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,8,12,"2,537",239,9.42%,N,Y
2021-2022,43,69666,4333522,Santa Clara,San Jose Unified,Leland High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,676",158,9.43%,N,Y
2021-2022,44,75432,4430211,Santa Cruz,Scotts Valley Unified,Scotts Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,734,73,9.95%,N,Y
2021-2022,01,75093,0132704,Alameda,Dublin Unified,Dublin High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"3,370",337,10.00%,N,Y
2021-2022,43,69641,4335782,Santa Clara,Palo Alto Unified,Palo Alto High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,010",202,10.05%,N,Y
2021-2022,01,75101,0130583,Alameda,Pleasanton Unified,Amador Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,699",273,10.11%,N,Y
2021-2022,31,66928,3130184,Placer,Roseville Joint Union High,Granite Bay High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,995",206,10.33%,N,Y
2021-2022,44,10447,4430252,Santa Cruz,Santa Cruz County Office of Education,Pacific Collegiate Charter,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,0210,Directly funded,Y,7,12,367,38,10.35%,N,Y
2021-2022,09,10090,6069470,El Dorado,El Dorado County Office of Education,Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,P,Adult,85,9,10.59%,N,Y
2021-2022,56,73940,5630371,Ventura,Moorpark Unified,The High School at Moorpark College,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,100,11,11.00%,N,Y
2021-2022,43,69641,4332904,Santa Clara,Palo Alto Unified,Henry M. Gunn High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,868",206,11.03%,N,Y
2021-2022,21,65482,2133692,Marin,Tamalpais Union High,Tamalpais High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,644",182,11.07%,N,Y
2021-2022,19,64865,0141002,Los Angeles,Palos Verdes Peninsula Unified,Palos Verdes Distance Learning Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,9,1,11.11%,N,Y
2021-2022,49,70862,0000001,Sonoma,Petaluma Joint Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27,3,11.11%,N,Y
2021-2022,19,64865,1995588,Los Angeles,Palos Verdes Peninsula Unified,Palos Verdes Peninsula High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,340",262,11.20%,N,Y
2021-2022,21,65482,2131340,Marin,Tamalpais Union High,Archie Williams High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,275",146,11.45%,N,Y
2021-2022,31,75085,0119487,Placer,Rocklin Unified,Western Sierra Collegiate Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1071,Directly funded,Y,7,12,574,66,11.50%,N,Y
2021-2022,31,66951,0000001,Placer,Western Placer Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,3,11.54%,N,Y
2021-2022,41,69062,4130993,San Mateo,Sequoia Union High,Carlmont High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,302",266,11.56%,N,Y
2021-2022,37,68296,3731528,San Diego,Poway Unified,Westview High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,351",273,11.61%,N,Y
2021-2022,37,68296,0118935,San Diego,Poway Unified,Del Norte High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,586",303,11.72%,N,Y
2021-2022,43,69609,0000001,Santa Clara,Mountain View-Los Altos Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,3,12.00%,N,Y
2021-2022,33,75200,0000001,Riverside,Murrieta Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1,12.50%,N,Y
2021-2022,44,69823,0000001,Santa Cruz,Santa Cruz City High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1,12.50%,N,Y
2021-2022,01,75093,0000001,Alameda,Dublin Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8,1,12.50%,N,Y
2021-2022,37,68189,3731072,San Diego,Lakeside Union Elementary,River Valley Charter,Elementary School District,High Schools (Public),Traditional,N/A,Yes,0120,Directly funded,N,7,12,181,23,12.71%,N,Y
2021-2022,37,68346,0106328,San Diego,San Dieguito Union High,Canyon Crest Academy,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,346",300,12.79%,N,Y
2021-2022,30,73650,0116046,Orange,Irvine Unified,Irvine Adult Transition Programs,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,Adult,Adult,86,11,12.79%,N,Y
2021-2022,31,66928,0139840,Placer,Roseville Joint Union High,West Park High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,013",130,12.83%,N,Y
2021-2022,30,66464,3030756,Orange,Capistrano Unified,Tesoro High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,268",295,13.01%,N,Y
2021-2022,30,66597,3031697,Orange,Newport-Mesa Unified,Corona del Mar High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,12,"1,526",199,13.04%,N,Y
2021-2022,43,69468,4331799,Santa Clara,Fremont Union High,Cupertino High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,108",279,13.24%,N,Y
2021-2022,50,71092,6112965,Stanislaus,Hart-Ransom Union Elementary,Hart-Ransom Academic Charter,Elementary School District,K-12 Schools (Public),Traditional,N/A,Yes,0080,Locally funded,Y,K,12,113,15,13.27%,N,Y
2021-2022,19,65136,1995802,Los Angeles,William S. Hart Union High,Valencia High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,484",331,13.33%,N,Y
2021-2022,37,73569,0000001,San Diego,Oceanside Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,2,13.33%,N,Y
2021-2022,30,10306,3030723,Orange,Orange County Department of Education,OCSA,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,0290,Directly funded,Y,7,12,"1,671",224,13.41%,N,Y
2021-2022,19,65136,1996321,Los Angeles,William S. Hart Union High,Academy of the Canyons,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,395,53,13.42%,N,Y
2021-2022,56,73874,5630132,Ventura,Oak Park Unified,Oak Park High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,427",192,13.45%,N,Y
2021-2022,19,64964,1937754,Los Angeles,San Marino Unified,San Marino High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,869,117,13.46%,N,Y
2021-2022,07,61630,0000001,Contra Costa,Acalanes Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37,5,13.51%,N,Y
2021-2022,37,68346,0000001,San Diego,San Dieguito Union High,"Nonpublic, Nonsectarian Schools",High School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,3,13.64%,N,Y
2021-2022,56,73874,5630256,Ventura,Oak Park Unified,Oak Park Independent,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,131,18,13.74%,N,Y
2021-2022,43,69609,4334116,Santa Clara,Mountain View-Los Altos Union High,Los Altos High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,136",299,14.00%,N,Y
2021-2022,07,61754,0000001,Contra Costa,Mt. Diablo Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,7,14.00%,N,Y
2021-2022,01,61275,0130286,Alameda,Piedmont City Unified,Millennium High Alternative,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,57,8,14.04%,N,Y
2021-2022,07,61630,0733725,Contra Costa,Acalanes Union High,Las Lomas High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,578",222,14.07%,N,Y
2021-2022,19,65136,0102475,Los Angeles,William S. Hart Union High,West Ranch High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,016",285,14.14%,N,Y
